#Main界面	
#Mod模块	
#SkillTip	
#UI	
#UI系列	
#交易	
#交易接口	
#任务	
#休息界面	
#传言	
#传送界面	
#传闻	
#修理界面	
#共享	
#创角界面	
#区域	
#后面有留空格键是要做排版	
#地图接口(任务接口)	
#天赋接口(感悟接口)	
#存读档	
#异常状态TIP	
#感悟	
#成就界面	
#战斗	
#战斗界面	
#战斗讯息	
#战斗跳的讯息	
#技能界面(武学)	
#拆解界面	
#按键TIP	
#按键提示对应	
#接口名称	
#方位条界面	
#淬炼界面	
#游戏提示	
#游戏难度	
#炼金接口(生产接口)	
#热键设定接口	
#熔炼界面	
#环境设定接口	
#画面提示	
#称号界面	
#系统接口	
#结局 02	
#结局 03	
#结局 04	
#结局 05	
#结局 06	
#结局 07	
#结局 08	
#结局 09	
#结局 10	
#结局 11	
#结局 12	
#结局 13	
#结局 14	
#结局 15	
#结局 16	
#结局 17	
#结局 18	
#结局 19	
#结局 20	
#结局 21	
#结局 22	
#结局 23	
#结局 24	
#结局00	
#结局01	
#自宫	
#范围选择	
#说明分类	
#追踪的任务接口	
#重锻界面	
#锻造	
#锻造界面	
#队伍	
#队伍接口(物品接口)	
#阴阳	
#阵营单位	
AchievementMode0	Single game system
AchievementMode1	Overall cumulative system
AchievementType0	General
AchievementType1	Combat
AchievementType2	Plot
AchievementType3	Martial Arts
AchievementType4	Capacity
AchievementType5	Reputation
AchievementType6	Collection
ActivateA	Please select {0}.
AdditiveEffect	Additional effects
Affected0	Teammate.
Affected1	Our side
Affected2	Enemy
AfterDamageTalent	Cumulative {0} {1} % for each attack.
APRecovery	Restoration of energy
Area0	A Jianghu disperser.
Area1	Gongshi Village
Area10	Redan Palace
Area101	Blacksmith Shop
Area102	Hotels
Area103	Pawnshop
Area104	Fur shop
Area105	Butcher's shop
Area106	Grocery Stores
Area107	Pharmacy
Area108	Vegetable shop
Area109	Fruit Shop
Area11	Shijiazhuang
Area110	Fish Shop
Area111	Woodsmen's Union
Area112	Bouchon
Area113	Food stores
Area114	Restaurants
Area115	Yu Fang
Area12	Taihua Gate
Area13	Leopard King's Stronghold
Area14	White Marquee
Area15	Tibetan Flower and Grass Shed
Area16	Duan of Nanzhao
Area17	Turnip Bridge
Area18	Wojia Horse Gang
Area19	Yip's Horse Gang
Area2	Shu Yuji
Area20	Karma Temple
Area21	The Beast
Area22	Pretty Dreams Gallery
Area23	Vertigo Waterfall
Area24	The Academy of Idleness
Area25	Tianlong Temple
Area26	Dainties
Area27	Wolf Barbarians
Area28	Valley of Goldstone
Area29	Sam Wong San
Area3	Daein Town
Area30	The Hundred Beasts'
Area31	Prey
Area32	Livestock
Area4	Eagle Hunter Settlements
Area5	Sorrento
Area6	Chateau Ichirofune
Area7	Jhangren Village
Area8	Dushi Nishikawa
Area9	Qingcheng Pai
AreaNear	vicinity
AreaNone	Field areas
ArrivalEndOfWorld	The area ahead is not open. Please turn back.
BaseEffect	Special effects
BaseProperty	Basic attributes
BattleInfoApRecovery	Energy restored per round
BattleInfoCountAttackSkill	Counter-Strike.
BeginUnitTalent	Cumulative {0} {1} % per round
BluePrintType1	Fists
BluePrintType2	Sword
BluePrintType3	Knives
BluePrintType4	Spears
BluePrintType5	Shorts
BluePrintType6	Arrows
BluePrintType7	Defence Gear
Cancel	Cancellation
CannotCapture	This target cannot be tamed.
CaptureFailure	Taming Failure
CaptureSuccess	Taming Success.
CharacterProperty108	Money
CharacterProperty109	The impetuous
CharacterProperty110	Ethics
CharacterProperty111	Prestige of the Jiang Hu
CharacterProperty112	Yin and Yang
CharacterProperty196	Blitzkrieg
CharacterProperty197	Unloading
CharacterProperty198	Combo
CharacterProperty199	Counterattack
CharacterProperty200	False Claims
CharacterProperty301	Fists
CharacterProperty302	Swordplay.
CharacterProperty303	Knife Art.
CharacterProperty304	Spears
CharacterProperty305	Dark Arms
CharacterProperty306	Shorts
CharacterProperty307	Medical Science
CharacterProperty308	Toxic Arts
CharacterProperty309	Inner Work
CharacterProperty310	Light Work
CharacterProperty321	Herbology
CharacterProperty322	Mineralogy
CharacterProperty323	Theft studies
CharacterProperty324	Business Studies
CharacterProperty400	Internal Injuries
CharacterProperty401	Trauma
CharacterProperty402	Poisoning
CharacterProperty403	Seal the Den
CharacterProperty404	Confusion
CharacterProperty405	Dizziness
CharacterProperty406	Split Ribs
CharacterProperty407	Wrong bone
CharacterProperty408	Scattergories
CharacterProperty409	Frozen
CharacterProperty410	Intoxication
CharacterProperty50	Qi and Blood
CharacterProperty51	Blood and Qi cap
CharacterProperty52	Inner Force
CharacterProperty53	Inner Strength Cap
CharacterProperty54	Energy
CharacterProperty55	Energy cap
CharacterProperty58	Physical Fitness
CharacterProperty59	Qualifications
CircleSelector	Region
Combo	Combo
ComboEffect	Additional energy {0} points when combo is launched
CounterAttack	Counterattack
CounterAttackEffect	When counterattacking, use {0} to counterattack the enemy.
Critical	Sudden Blow
CriticalEffect	Add {0} % to damage when Blast is initiated.
CurrentMod	Current Modules
CurrentTurn	Rounds {0}
cutyourself	Practicing the Book of Broken Flowers
cutyourself02	To practice this martial art you must be self-employed, do you want to continue practicing?
DayFromBeginning	Day {0}
Deleting	is on its way to the main menu
DifficultyDetails	Detailed description
DifficultyWarning0	The game difficulty level currently selected is the Purgatory level, and some of the game content will be somewhat different.
DifficultyWarning1	.
DifficultyWarning2	Combat value adjustment: Self-unit's power will be weakened, while enemy unit's power will be increased.
DifficultyWarning3	Combat mechanic added: If any unit of your own force (green) dies, the battle will be lost.
DifficultyWarning4	Change in battle rules: The victory conditions of some battles may be changed, such as friendly battle.
DifficultyWarning5	Beast King Book Adjustment: The initial number of rounds a Beast King can fight has increased.
DifficultyWarning6	
DifficultyWarning7	Click on the detailed instructions button below, or open the help page to see more explanations about the difficulty level,
DifficultyWarning8	If you want to change the difficulty level, please re-do the questionnaire and choose another difficulty level to play,
DifficultyWarning9	Enjoy your trip!
DirectionUnit	Fang
Disable	Deactivation
Durability	Durability
EffectLevel1	Mild
EffectLevel2	Moderate
EffectLevel3	Height
Enable	Enable
EquipPartType0	Body
EquipPartType1	Pattern
EquipPartType10	Bone
EquipPartType11	Strings
EquipPartType12	Dart
EquipPartType13	Bow
EquipPartType14	Poisoning
EquipPartType15	Casting Furnace
EquipPartType2	Handle
EquipPartType3	Ring
EquipPartType4	Head
EquipPartType5	Ribbon
EquipPartType6	Pole
EquipPartType7	Tail
EquipPartType8	Lining
EquipPartType9	Top
Final00_00	Fantasy Bubble
Final00_01	With the matter-of-fact voice of the announcer,
Final00_02	The big, cold screen is like a diversionary pastime between major news stories,
Final00_03	has been temporarily interrupting the broadcast of your disappearance,
